window: 10ms, time: 38.7µs, drift: -1.2979ms
window: 10ms, time: 29.2µs, drift: -1.53ms
window: 10ms, time: 33.1µs, drift: -1.3054ms
window: 10ms, time: 29.2µs, drift: -1.4072ms
window: 10ms, time: 33.5µs, drift: -1.1015ms
window: 10ms, time: 49.4µs, drift: -1.2288ms
window: 10ms, time: 32.3µs, drift: -1.3982ms
window: 10ms, time: 33.4µs, drift: -1.3535ms
window: 10ms, time: 29.2µs, drift: -1.3692ms
window: 10ms, time: 29.8µs, drift: -1.5346ms
window: 10ms, time: 90.8µs, drift: -1.5166ms
window: 10ms, time: 25.5µs, drift: -1.4305ms
window: 10ms, time: 14.8µs, drift: -939.1µs
window: 10ms, time: 31.1µs, drift: -1.2287ms
window: 10ms, time: 14.4µs, drift: -696.8µs
window: 10ms, time: 58.5µs, drift: -904.1µs
window: 10ms, time: 14.6µs, drift: -919.9µs
window: 10ms, time: 14.7µs, drift: -931.8µs
window: 10ms, time: 21.7µs, drift: -953.9µs
window: 10ms, time: 14.5µs, drift: -800.1µs
window: 10ms, time: 14.7µs, drift: -1.1069ms
window: 10ms, time: 14.2µs, drift: -905.8µs
window: 10ms, time: 14.6µs, drift: -941.7µs
Midi callback drift: -15µs
Message time diff: 3.4228ms
window: 10ms, time: 145.1µs, drift: -1.1091ms
window: 10ms, time: 12.7µs, drift: -1.6982ms
window: 10ms, time: 14.6µs, drift: -1.1781ms
window: 10ms, time: 18.5µs, drift: -968.5µs
window: 10ms, time: 24.1µs, drift: -1.2565ms
window: 10ms, time: 35.2µs, drift: -1.6223ms
window: 10ms, time: 37.9µs, drift: -1.6523ms
window: 10ms, time: 47.4µs, drift: -2.0318ms
Midi callback drift: -1.051ms
Midi callback drift: -585µs
Midi callback drift: -959µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
window: 10ms, time: 1.0671ms, drift: -2.7992ms
window: 10ms, time: 66.2µs, drift: -1.2502ms
window: 10ms, time: 88µs, drift: -1.8976ms
window: 10ms, time: 65.4µs, drift: -1.166ms
window: 10ms, time: 150.5µs, drift: -1.8059ms
window: 10ms, time: 35.7µs, drift: -1.1183ms
window: 10ms, time: 51.7µs, drift: -1.3628ms
window: 10ms, time: 65.4µs, drift: -1.5033ms
window: 10ms, time: 65.4µs, drift: -1.4245ms
window: 10ms, time: 64.8µs, drift: -1.6443ms
window: 10ms, time: 87.5µs, drift: -2.2452ms
window: 10ms, time: 79.2µs, drift: -1.8591ms
Midi callback drift: -1.139ms
Midi callback drift: 60µs
Midi callback drift: -745µs
Midi callback drift: -422µs
Midi callback drift: -228µs
Midi callback drift: -822µs
Midi callback drift: -434µs
Message time diff: 3.4228ms
Message time diff: 1.4228ms
Message time diff: 1.4228ms
Message time diff: 422.8µs
Message time diff: -577.2µs
Message time diff: -577.2µs
Message time diff: -1.5772ms
Message time diff: -1.5772ms
Midi callback drift: -861µs
window: 10ms, time: 1.9509ms, drift: -3.4376ms
Midi callback drift: -1.086ms
Message time diff: 7.4228ms
window: 10ms, time: 242.6µs, drift: -1.6434ms
window: 10ms, time: 271.8µs, drift: -1.8651ms
window: 10ms, time: 166.1µs, drift: -1.7851ms
window: 10ms, time: 165.3µs, drift: -2.3071ms
window: 10ms, time: 146.8µs, drift: -1.6048ms
Midi callback drift: -737µs
Midi callback drift: -296µs
Midi callback drift: -842µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
window: 10ms, time: 1.5115ms, drift: -2.9923ms
window: 10ms, time: 245.8µs, drift: -2.1998ms
window: 10ms, time: 185.5µs, drift: -2.1283ms
window: 10ms, time: 138.8µs, drift: -1.2996ms
window: 10ms, time: 174.7µs, drift: -2.0033ms
window: 10ms, time: 154.1µs, drift: -1.6268ms
Midi callback drift: -818µs
Midi callback drift: -1.459ms
Midi callback drift: -1.089ms
Midi callback drift: -864µs
Midi callback drift: -1.316ms
Message time diff: 3.4228ms
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 1.4228ms
Message time diff: 1.4228ms
window: 10ms, time: 2.0361ms, drift: -3.516ms
window: 10ms, time: 206µs, drift: -2.0391ms
window: 10ms, time: 187µs, drift: -1.9041ms
window: 10ms, time: 231.5µs, drift: -2.0683ms
window: 10ms, time: 190µs, drift: -2.0379ms
window: 10ms, time: 336.3µs, drift: -1.9395ms
Midi callback drift: -835µs
Midi callback drift: -1.587ms
Message time diff: 3.4228ms
Message time diff: 3.4228ms
window: 10ms, time: 757.2µs, drift: -2.2503ms
window: 10ms, time: 188.2µs, drift: -1.4795ms
window: 10ms, time: 189.1µs, drift: -1.6778ms
Midi callback drift: -624µs
Midi callback drift: -1.178ms
Message time diff: 3.4228ms
Message time diff: 3.4228ms
window: 10ms, time: 504µs, drift: -1.7258ms
window: 10ms, time: 174.7µs, drift: -1.4858ms
window: 10ms, time: 235.5µs, drift: -1.5457ms
Midi callback drift: -1.199ms
Midi callback drift: -906µs
Midi callback drift: -708µs
Midi callback drift: -1.388ms
